code	url	product_name	image_url	image_small_url	image_front_url	energy_100g	energy-from-fat_100g	fat_100g	saturated-fat_100g	salt_100g	sodium_100g	carbohydrates_100g	fiber_100g	sugars_100g	proteins_100g	calcium_100g	iron_100g	nutrition-score-fr_100g	nutrition-score-uk_100g
5010092093045	http://us.openfoodfacts.org/product/5010092093045	Soft white	http://static.openfoodfacts.org/images/products/501/009/209/3045/front_en.14.400.jpg	http://static.openfoodfacts.org/images/products/501/009/209/3045/front_en.14.200.jpg	http://static.openfoodfacts.org/images/products/501/009/209/3045/front_en.14.400.jpg	1007.0	0.0	2.0	0.3	1.016	0.4	44.6	2.7	3.8	9.0	0.0	0.0	-1.0	-1.0
0082592720153	http://us.openfoodfacts.org/product/0082592720153	Green Machine	http://static.openfoodfacts.org/images/products/008/259/272/0153/front_en.17.400.jpg	http://static.openfoodfacts.org/images/products/008/259/272/0153/front_en.17.200.jpg	http://static.openfoodfacts.org/images/products/008/259/272/0153/front_en.17.400.jpg	244.0	0.0	0.0	0.0	0.0159	0.00625	13.8	11.7	0.0	0.833	0.00833	0.0003	0.0	0.0
0009800895250	http://us.openfoodfacts.org/product/0009800895250	Nutella	http://static.openfoodfacts.org/images/products/000/980/089/5250/front_en.21.400.jpg	http://static.openfoodfacts.org/images/products/000/980/089/5250/front_en.21.200.jpg	http://static.openfoodfacts.org/images/products/000/980/089/5250/front_en.21.400.jpg	2260.0	1240.0	32.4	10.8	0.103	0.0405	56.8	2.7	56.8	5.41	0.108	0.00195	23.0	23.0
01762949	http://us.openfoodfacts.org/product/01762949		http://static.openfoodfacts.org/images/products/01762949/front_en.3.400.jpg	http://static.openfoodfacts.org/images/products/01762949/front_en.3.200.jpg	http://static.openfoodfacts.org/images/products/01762949/front_en.3.400.jpg	3350.0	3350.0	93.3	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
0071443003903	http://us.openfoodfacts.org/product/0071443003903		http://static.openfoodfacts.org/images/products/007/144/300/3903/front_en.3.400.jpg	http://static.openfoodfacts.org/images/products/007/144/300/3903/front_en.3.200.jpg	http://static.openfoodfacts.org/images/products/007/144/300/3903/front_en.3.400.jpg	1590.0	398.0	9.52	5.95	0.181	0.0714	76.2	2.38	54.8	2.38	0.0	0.000857	16.0	16.0
0036632036506	http://us.openfoodfacts.org/product/0036632036506	Activia light blueberry	http://static.openfoodfacts.org/images/products/003/663/203/6506/front_en.7.400.jpg	http://static.openfoodfacts.org/images/products/003/663/203/6506/front_en.7.200.jpg	http://static.openfoodfacts.org/images/products/003/663/203/6506/front_en.7.400.jpg	222.0	0.0	0.0	0.0	0.146	0.0575	9.73	1.77	6.19	3.54	0.133	0.0	-3.0	-3.0
04154891	http://us.openfoodfacts.org/product/04154891	Almond Milk Unsweetened	http://static.openfoodfacts.org/images/products/04154891/front_en.10.400.jpg	http://static.openfoodfacts.org/images/products/04154891/front_en.10.200.jpg	http://static.openfoodfacts.org/images/products/04154891/front_en.10.400.jpg	52.5	35.0	1.04	0.0	0.191	0.075	0.833	0.417	0.0	0.417	0.188	0.0003	0.0	0.0
0041570054130	http://us.openfoodfacts.org/product/0041570054130	Almond Milk Unsweetened 	http://static.openfoodfacts.org/images/products/004/157/005/4130/front_en.10.400.jpg	http://static.openfoodfacts.org/images/products/004/157/005/4130/front_en.10.200.jpg	http://static.openfoodfacts.org/images/products/004/157/005/4130/front_en.10.400.jpg	52.5	35.0	1.04	0.0	0.191	0.075	0.833	0.417	0.0	0.417	0.188	0.0003	0.0	0.0
0028400183901	http://us.openfoodfacts.org/product/0028400183901	Baked Cheetos	http://static.openfoodfacts.org/images/products/002/840/018/3901/front_en.6.400.jpg	http://static.openfoodfacts.org/images/products/002/840/018/3901/front_en.6.200.jpg	http://static.openfoodfacts.org/images/products/002/840/018/3901/front_en.6.400.jpg	1940.0	671.0	17.9	3.57	2.09	0.821	71.4	3.57	3.57	7.14	0.357	0.00964	12.0	12.0
0078742143330	http://us.openfoodfacts.org/product/0078742143330	Blueberry Lowfat Yogurt	http://static.openfoodfacts.org/images/products/007/874/214/3330/front_en.3.400.jpg	http://static.openfoodfacts.org/images/products/007/874/214/3330/front_en.3.200.jpg	http://static.openfoodfacts.org/images/products/007/874/214/3330/front_en.3.400.jpg	369.0	0.0	0.882	0.588	0.112	0.0441	17.1	0.0	14.1	2.94	0.0	0.0	3.0	3.0
