code	url	creator	created_t	last_modified_t	product_name	generic_name	quantity	packaging	packaging_tags	brands	brands_tags	categories	categories_tags	labels	labels_tags	origins	origins_tags	manufacturing_places	manufacturing_places_tags	emb_codes	emb_codes_tags	cities	cities_tags	purchase_places	stores	countries	ingredients_text	allergens	allergens_tags	traces	traces_tags	serving_size	no_nutriments	additives_n	additives	additives_tags	ingredients_from_palm_oil_n	ingredients_from_palm_oil	ingredients_from_palm_oil_tags	ingredients_that_may_be_from_palm_oil_n	ingredients_that_may_be_from_palm_oil	ingredients_that_may_be_from_palm_oil_tags	pnns_groups_1	pnns_groups_2	main_category	image_url	image_small_url	image_front_url	image_front_small_url	image_ingredients_url	image_ingredients_small_url	image_nutrition_url	image_nutrition_small_url	energy_100g	energy-from-fat_100g	fat_100g	saturated-fat_100g	-butyric-acid_100g	-caproic-acid_100g	-caprylic-acid_100g	-capric-acid_100g	-lauric-acid_100g	-myristic-acid_100g	-palmitic-acid_100g	-stearic-acid_100g	-arachidic-acid_100g	-behenic-acid_100g	-lignoceric-acid_100g	-cerotic-acid_100g	-montanic-acid_100g	-melissic-acid_100g	monounsaturated-fat_100g	polyunsaturated-fat_100g	omega-3-fat_100g	-alpha-linolenic-acid_100g	-eicosapentaenoic-acid_100g	-docosahexaenoic-acid_100g	omega-6-fat_100g	-linoleic-acid_100g	-arachidonic-acid_100g	-gamma-linolenic-acid_100g	-dihomo-gamma-linolenic-acid_100g	omega-9-fat_100g	-oleic-acid_100g	-elaidic-acid_100g	-gondoic-acid_100g	-mead-acid_100g	-erucic-acid_100g	-nervonic-acid_100g	trans-fat_100g	cholesterol_100g	salt_100g	sodium_100g	carbohydrates_100g	fiber_100g	-soluble-fiber_100g	-insoluble-fiber_100g	sugars_100g	-sucrose_100g	-glucose_100g	-fructose_100g	-lactose_100g	-maltose_100g	-maltodextrins_100g	starch_100g	polyols_100g	proteins_100g	casein_100g	serum-proteins_100g	nucleotides_100g	alcohol_100g	vitamin-a_100g	beta-carotene_100g	vitamin-d_100g	vitamin-e_100g	vitamin-k_100g	vitamin-c_100g	vitamin-b1_100g	vitamin-b2_100g	vitamin-pp_100g	vitamin-b6_100g	vitamin-b9_100g	vitamin-b12_100g	biotin_100g	pantothenic-acid_100g	silica_100g	bicarbonate_100g	potassium_100g	chloride_100g	calcium_100g	phosphorus_100g	iron_100g	magnesium_100g	zinc_100g	copper_100g	manganese_100g	fluoride_100g	selenium_100g	chromium_100g	molybdenum_100g	iodine_100g	caffeine_100g	taurine_100g	ph_100g	fruits-vegetables-nuts_100g	collagen-meat-protein-ratio_100g	cocoa_100g	chlorophyl_100g	carbon-footprint_100g	nutrition-score-fr_100g	nutrition-score-uk_100g
5010092093045	http://us.openfoodfacts.org/product/5010092093045	bcatelin	1389309305	1461479010	Soft white	White bread	800g	Plastic bag	plastic-bag	Kingsmill	kingsmill	Plant-based foods and beverages,Plant-based foods,Cereals and potatoes,Breads	en:plant-based-foods-and-beverages,en:plant-based-foods,en:cereals-and-potatoes,en:breads	carbon footprint	en:carbon-footprint,en:carbon-footprint	England	england	United Kingdom	united-kingdom					Barnet,London,United Kingdom	Food and Wine	United States,United Kingdom	Wheat flour, Water, Yeast, Salt, Vinegar, Vegetable oil, Soya flour, E472e, Calcium propionate, Ascorbic acid			wheat,gluten,soya	en:gluten,en:soybeans	50g		3	 [ wheat-flour -> en:wheat-flour  ]  [ flour -> en:flour  ]  [ water -> en:water  ]  [ yeast -> en:yeast  ]  [ salt -> en:salt  ]  [ vinegar -> en:vinegar  ]  [ vegetable-oil -> en:vegetable-oil  ]  [ oil -> en:oil  ]  [ soya-flour -> en:soya-flour  ]  [ flour -> en:flour  ]  [ e472e -> en:e472e  -> exists  ]  [ calcium-propionate -> en:e282  -> exists  ]  [ ascorbic-acid -> en:e300  -> exists  ] 	en:e472e,en:e282,en:e300	0			1		e472e-ester-monoacethyltartrique-de-mono-et-diglycerides-d-acides-gras	Cereals and potatoes	Bread	en:breads	http://static.openfoodfacts.org/images/products/501/009/209/3045/front_en.14.400.jpg	http://static.openfoodfacts.org/images/products/501/009/209/3045/front_en.14.200.jpg	http://static.openfoodfacts.org/images/products/501/009/209/3045/front_en.14.400.jpg	http://static.openfoodfacts.org/images/products/501/009/209/3045/front_en.14.200.jpg	http://static.openfoodfacts.org/images/products/501/009/209/3045/ingredients_en.15.400.jpg	http://static.openfoodfacts.org/images/products/501/009/209/3045/ingredients_en.15.200.jpg	http://static.openfoodfacts.org/images/products/501/009/209/3045/nutrition_en.16.400.jpg	http://static.openfoodfacts.org/images/products/501/009/209/3045/nutrition_en.16.200.jpg	1007		2	0.3																																			1.016	0.4	44.6	2.7			3.8									9																																										125	-1	-1
0044000030377	http://us.openfoodfacts.org/product/0044000030377	openfoodfacts-contributors	1385850411	1459174448	Wheat Thins Original		258g			Nabisco	nabisco	snacks	en:snacks													United States																	unknown	unknown	en:snacks	http://static.openfoodfacts.org/images/products/004/400/003/0377/front_en.4.400.jpg	http://static.openfoodfacts.org/images/products/004/400/003/0377/front_en.4.200.jpg	http://static.openfoodfacts.org/images/products/004/400/003/0377/front_en.4.400.jpg	http://static.openfoodfacts.org/images/products/004/400/003/0377/front_en.4.200.jpg																																																																																																						
07832309	http://us.openfoodfacts.org/product/07832309	openfoodfacts-contributors	1403210081	1458995984	Diet Dr Pepper			can	can	Dr Pepper	dr-pepper	Beverages,Carbonated drinks,Artificially sweetened beverages,Sodas,Diet beverages,Diet sodas,Non-sugared beverages	en:beverages,en:artificially-sweetened-beverages,en:carbonated-drinks,en:diet-beverages,en:sodas,en:diet-sodas,en:non-sugared-beverages													United States	carbonated water, caramel color, aspartame, phosphoric acid, natural and artificial flavors, sodium benzoate (preservative), caffeine    Phenylketonurics: contains phenylalanine							4	 [ carbonated-water -> en:carbonated-water  ]  [ water -> en:water  ]  [ caramel-color -> en:e150a  -> exists  ]  [ aspartame -> en:e951  -> exists  ]  [ phosphoric-acid -> en:e338  -> exists  ]  [ natural-and-artificial-flavors -> en:natural-and-artificial-flavors  ]  [ and-artificial-flavors -> en:and-artificial-flavors  ]  [ artificial-flavors -> en:artificial-flavors  ]  [ flavors -> en:flavors  ]  [ sodium-benzoate -> en:e211  -> exists  ]  [ preservative -> en:preservative  ]  [ caffeine    phenylketonurics -> en:caffeine    phenylketonurics  ]  [ contains-phenylalanine -> en:contains-phenylalanine  ]  [ phenylalanine -> en:phenylalanine  ] 	en:e150a,en:e951,en:e338,en:e211	0			0			Beverages	Non-sugared beverages	en:sodas	http://static.openfoodfacts.org/images/products/07832309/front_en.3.400.jpg	http://static.openfoodfacts.org/images/products/07832309/front_en.3.200.jpg	http://static.openfoodfacts.org/images/products/07832309/front_en.3.400.jpg	http://static.openfoodfacts.org/images/products/07832309/front_en.3.200.jpg	http://static.openfoodfacts.org/images/products/07832309/ingredients_en.9.400.jpg	http://static.openfoodfacts.org/images/products/07832309/ingredients_en.9.200.jpg	http://static.openfoodfacts.org/images/products/07832309/nutrition_en.8.400.jpg	http://static.openfoodfacts.org/images/products/07832309/nutrition_en.8.200.jpg																																																																																																		
5099353000169	http://us.openfoodfacts.org/product/5099353000169	bcatelin	1385926289	1413659845	Eggs	Eggs	6	Cardbox	cardbox	Lester eggs ltd	lester-eggs-ltd	Eggs	en:farming-products,en:bird-eggs,en:eggs	Class A Eggs	en:class-a-eggs	Netherlands	netherlands							Brent,United Kingdom		United States,United Kingdom																	Fish Meat Eggs	Eggs	en:farming-products	http://static.openfoodfacts.org/images/products/509/935/300/0169/front_en.8.400.jpg	http://static.openfoodfacts.org/images/products/509/935/300/0169/front_en.8.200.jpg	http://static.openfoodfacts.org/images/products/509/935/300/0169/front_en.8.400.jpg	http://static.openfoodfacts.org/images/products/509/935/300/0169/front_en.8.200.jpg																																																																																																						
0082592720153	http://us.openfoodfacts.org/product/0082592720153	openfoodfacts-contributors	1389308826	1459174499	Green Machine		15.2 fl. oz (450 mL)			Naked	naked	Juices	en:juices	No sugar added	en:no-sugar-added									Chicago,Illinois,USA	Walgreens	United States	APPLE JUICE, MANGO PUREE, PINEAPPLE JUICE, BANANA PUREE, KIWI PUREE, SPIRULINA, NATURAL FLAVORS, ALFALFA, BROCCOLI, SPINACH, BARLEY GRASS, _WHEAT_ GRASS, PARSLEY, GINGER ROOT, KALE, ODORLESS GARLIC	WHEAT, BARLEY, WHEAT	en:gluten			8 fl oz (240 mL)		0	 [ apple-juice -> en:apple-juice  ]  [ juice -> en:juice  ]  [ mango-puree -> en:mango-puree  ]  [ puree -> en:puree  ]  [ pineapple-juice -> en:pineapple-juice  ]  [ juice -> en:juice  ]  [ banana-puree -> en:banana-puree  ]  [ puree -> en:puree  ]  [ kiwi-puree -> en:kiwi-puree  ]  [ puree -> en:puree  ]  [ spirulina -> en:spirulina  ]  [ natural-flavors -> en:natural-flavors  ]  [ flavors -> en:flavors  ]  [ alfalfa -> en:alfalfa  ]  [ broccoli -> en:broccoli  ]  [ spinach -> en:spinach  ]  [ barley-grass -> en:barley-grass  ]  [ grass -> en:grass  ]  [ wheat-grass -> en:wheat-grass  ]  [ grass -> en:grass  ]  [ parsley -> en:parsley  ]  [ ginger-root -> en:ginger-root  ]  [ root -> en:root  ]  [ kale -> en:kale  ]  [ odorless-garlic -> en:odorless-garlic  ]  [ garlic -> en:garlic  ] 		0			0			unknown	unknown	en:juices	http://static.openfoodfacts.org/images/products/008/259/272/0153/front_en.17.400.jpg	http://static.openfoodfacts.org/images/products/008/259/272/0153/front_en.17.200.jpg	http://static.openfoodfacts.org/images/products/008/259/272/0153/front_en.17.400.jpg	http://static.openfoodfacts.org/images/products/008/259/272/0153/front_en.17.200.jpg	http://static.openfoodfacts.org/images/products/008/259/272/0153/ingredients_en.9.400.jpg	http://static.openfoodfacts.org/images/products/008/259/272/0153/ingredients_en.9.200.jpg	http://static.openfoodfacts.org/images/products/008/259/272/0153/nutrition_en.18.400.jpg	http://static.openfoodfacts.org/images/products/008/259/272/0153/nutrition_en.18.200.jpg	244		0																																				0.0159	0.00625	13.8	11.7												0.833					0.000313					0.01	1.25e-05	7.08e-05		0.000125		6.25e-07					0.167		0.00833		0.0003	0.01																		
0027541007602	http://us.openfoodfacts.org/product/0027541007602	openfoodfacts-contributors	1386977608	1458995500	Kirkland Drinking Water							Beverages,Waters,Non-sugared beverages	en:beverages,en:waters,en:non-sugared-beverages	U	en:kosher,en:orthodox-union-kosher											United States																	Beverages	Non-sugared beverages	en:waters	http://static.openfoodfacts.org/images/products/002/754/100/7602/front_en.4.400.jpg	http://static.openfoodfacts.org/images/products/002/754/100/7602/front_en.4.200.jpg	http://static.openfoodfacts.org/images/products/002/754/100/7602/front_en.4.400.jpg	http://static.openfoodfacts.org/images/products/002/754/100/7602/front_en.4.200.jpg																																																																																																						
0009800895250	http://us.openfoodfacts.org/product/0009800895250	stephane	1373737996	1461875560	Nutella	Hazelnut spread with skim milk & cacao	750 g	Pot,Verre	pot,verre	Nutella,Ferrero	nutella,ferrero	Petit-déjeuners,Produits à tartiner,Produits à tartiner sucrés,Pâtes à tartiner,Pâtes à tartiner au chocolat,Pâtes à tartiner aux noisettes,Pâtes à tartiner aux noisettes et au cacao	en:petit-dejeuners,en:produits-a-tartiner,en:produits-a-tartiner-sucres,en:pates-a-tartiner,en:pates-a-tartiner-au-chocolat,en:pates-a-tartiner-aux-noisettes,en:pates-a-tartiner-aux-noisettes-et-au-cacao													États-Unis	SUGAR, PALM OIL, _HAZELNUTS_, COCOA, SKIM MILK, REDUCED MINERALS WHEY (MILK), LECITHIN AS EMULSIFIER (SOY), VANILLIN: AN ARTIFICIAL FLAVOR	HAZELNUTS, HAZELNUTS, MILK, WHEY, MILK, SOY	en:milk,en:nuts,en:soybeans			2 tbsp (37 g)		0	 [ sugar -> en:sugar  ]  [ palm-oil -> en:palm-oil  ]  [ oil -> en:oil  ]  [ hazelnuts -> en:hazelnuts  ]  [ cocoa -> en:cocoa  ]  [ skim-milk -> en:skim-milk  ]  [ milk -> en:milk  ]  [ reduced-minerals-whey -> en:reduced-minerals-whey  ]  [ minerals-whey -> en:minerals-whey  ]  [ whey -> en:whey  ]  [ milk -> en:milk  ]  [ lecithin-as-emulsifier -> en:lecithin-as-emulsifier  ]  [ as-emulsifier -> en:as-emulsifier  ]  [ emulsifier -> en:emulsifier  ]  [ soy -> en:soy  ]  [ vanillin -> en:vanillin  ]  [ an-artificial-flavor -> en:an-artificial-flavor  ]  [ artificial-flavor -> en:artificial-flavor  ]  [ flavor -> en:flavor  ] 		0			0			unknown	unknown	en:petit-dejeuners	http://static.openfoodfacts.org/images/products/000/980/089/5250/front_en.21.400.jpg	http://static.openfoodfacts.org/images/products/000/980/089/5250/front_en.21.200.jpg	http://static.openfoodfacts.org/images/products/000/980/089/5250/front_en.21.400.jpg	http://static.openfoodfacts.org/images/products/000/980/089/5250/front_en.21.200.jpg	http://static.openfoodfacts.org/images/products/000/980/089/5250/ingredients_en.14.400.jpg	http://static.openfoodfacts.org/images/products/000/980/089/5250/ingredients_en.14.200.jpg	http://static.openfoodfacts.org/images/products/000/980/089/5250/nutrition_en.11.400.jpg	http://static.openfoodfacts.org/images/products/000/980/089/5250/nutrition_en.11.200.jpg	2260	1240	32.4	10.8																																	0	0	0.103	0.0405	56.8	2.7			56.8									5.41					0					0													0.108		0.00195																		23	23
0072248213238	http://us.openfoodfacts.org/product/0072248213238	openfoodfacts-contributors	1396301890	1439141745																						en:US																				http://static.openfoodfacts.org/images/products/007/224/821/3238/front_en.3.400.jpg	http://static.openfoodfacts.org/images/products/007/224/821/3238/front_en.3.200.jpg	http://static.openfoodfacts.org/images/products/007/224/821/3238/front_en.3.400.jpg	http://static.openfoodfacts.org/images/products/007/224/821/3238/front_en.3.200.jpg																																																																																																						
0009249960366	http://us.openfoodfacts.org/product/0009249960366	openfoodfacts-contributors	1391197122	1439074354			4 fl oz																			United States																	unknown	unknown		http://static.openfoodfacts.org/images/products/000/924/996/0366/front_en.3.400.jpg	http://static.openfoodfacts.org/images/products/000/924/996/0366/front_en.3.200.jpg	http://static.openfoodfacts.org/images/products/000/924/996/0366/front_en.3.400.jpg	http://static.openfoodfacts.org/images/products/000/924/996/0366/front_en.3.200.jpg																																																																																																						
0016000482883	http://us.openfoodfacts.org/product/0016000482883	openfoodfacts-contributors	1403448924	1439141736						Nature Valley	nature-valley															United States																	unknown	unknown		http://static.openfoodfacts.org/images/products/001/600/048/2883/front_fr.6.400.jpg	http://static.openfoodfacts.org/images/products/001/600/048/2883/front_fr.6.200.jpg	http://static.openfoodfacts.org/images/products/001/600/048/2883/front_fr.6.400.jpg	http://static.openfoodfacts.org/images/products/001/600/048/2883/front_fr.6.200.jpg																																																																																																						
